Timestamp,CPU Usage (%),Memory Usage (%)
2024-08-09 05:34:04,42.3,30.4
2024-08-09 05:34:06,7.3,30.4
2024-08-09 05:34:08,47.4,30.4
2024-08-09 05:34:10,48.7,31.1
2024-08-09 05:34:12,53.3,31.0
2024-08-09 05:34:14,35.7,30.7
2024-08-09 05:34:16,72.7,31.7
2024-08-09 05:34:18,83.4,32.3
2024-08-09 05:34:20,41.3,32.5
2024-08-09 05:34:22,52.3,32.6
2024-08-09 05:34:24,66.5,33.6
2024-08-09 05:34:26,98.7,35.3
2024-08-09 05:34:28,84.3,35.6
2024-08-09 05:34:30,54.7,34.1
2024-08-09 05:34:32,83.6,36.3
2024-08-09 05:34:34,98.2,37.0
2024-08-09 05:34:36,57.4,37.9
2024-08-09 05:34:38,78.9,38.8
2024-08-09 05:34:40,85.6,40.6
2024-08-09 05:34:42,52.3,41.2
2024-08-09 05:34:44,89.6,41.6
2024-08-09 05:34:46,76.8,42.0
2024-08-09 05:34:48,79.4,43.5
2024-08-09 05:34:50,79.4,43.8
2024-08-09 05:34:52,52.8,43.8
2024-08-09 05:34:54,75.3,43.8
2024-08-09 05:34:56,76.3,43.9
2024-08-09 05:34:58,44.3,44.1
2024-08-09 05:35:00,83.5,44.0
2024-08-09 05:35:02,86.8,43.9
2024-08-09 05:35:04,44.2,44.0
2024-08-09 05:35:06,84.8,44.1
2024-08-09 05:35:08,70.6,43.7
2024-08-09 05:35:10,68.7,43.8
2024-08-09 05:35:12,86.1,43.8
2024-08-09 05:35:14,71.6,43.8
2024-08-09 05:35:16,70.1,43.9
2024-08-09 05:35:18,82.3,44.0
2024-08-09 05:35:20,76.6,44.0
2024-08-09 05:35:22,74.7,43.9
2024-08-09 05:35:24,81.3,44.0
2024-08-09 05:35:26,67.9,44.0
2024-08-09 05:35:28,85.1,44.0
2024-08-09 05:35:30,82.1,44.0
2024-08-09 05:35:32,65.1,44.0
2024-08-09 05:35:34,85.2,44.0
2024-08-09 05:35:36,82.5,44.0
2024-08-09 05:35:38,65.2,43.9
2024-08-09 05:35:40,86.5,44.0
2024-08-09 05:35:42,86.3,44.0
2024-08-09 05:35:44,65.1,44.0
2024-08-09 05:35:46,81.1,44.0
2024-08-09 05:35:48,81.7,44.0
2024-08-09 05:35:50,65.2,43.9
2024-08-09 05:35:52,84.2,43.9
2024-08-09 05:35:54,76.6,43.9
2024-08-09 05:35:56,67.3,43.9
2024-08-09 05:35:58,82.7,44.0
2024-08-09 05:36:00,65.7,44.0
2024-08-09 05:36:02,73.0,44.0
2024-08-09 05:36:04,85.0,44.0
2024-08-09 05:36:06,64.5,43.9
2024-08-09 05:36:08,76.7,44.0
2024-08-09 05:36:10,86.6,44.0
2024-08-09 05:36:12,66.5,43.9
2024-08-09 05:36:14,82.1,44.0
2024-08-09 05:36:16,87.6,44.0
2024-08-09 05:36:18,62.6,43.9
2024-08-09 05:36:20,81.7,44.0
2024-08-09 05:36:22,81.9,43.9
2024-08-09 05:36:24,65.2,43.9
2024-08-09 05:36:26,81.5,43.9
2024-08-09 05:36:28,79.6,43.9
2024-08-09 05:36:30,65.1,43.9
2024-08-09 05:36:32,82.5,44.0
2024-08-09 05:36:34,82.4,43.2
2024-08-09 05:36:36,64.8,43.3
2024-08-09 05:36:38,87.6,43.2
2024-08-09 05:36:40,71.2,43.2
2024-08-09 05:36:42,65.5,43.2
2024-08-09 05:36:44,90.9,43.2
2024-08-09 05:36:46,69.1,43.1
2024-08-09 05:36:48,68.5,43.2
2024-08-09 05:36:50,87.6,43.3
2024-08-09 05:36:52,66.6,43.2
2024-08-09 05:36:54,75.1,43.3
2024-08-09 05:36:56,80.4,43.3
2024-08-09 05:36:59,66.2,43.3
2024-08-09 05:37:01,77.0,43.4
2024-08-09 05:37:03,81.7,43.4
2024-08-09 05:37:05,99.5,43.9
2024-08-09 05:37:07,100.0,45.2
2024-08-09 05:37:09,100.0,46.3
2024-08-09 05:37:11,100.0,47.2
2024-08-09 05:37:13,100.0,47.8
2024-08-09 05:37:15,100.0,48.2
2024-08-09 05:37:17,99.7,49.3
2024-08-09 05:37:19,100.0,50.0
2024-08-09 05:37:21,99.8,51.0
2024-08-09 05:37:23,100.0,51.3
2024-08-09 05:37:25,99.7,51.7
2024-08-09 05:37:27,99.3,52.1
2024-08-09 05:37:29,98.8,53.8
2024-08-09 05:37:31,99.2,51.5
2024-08-09 05:37:33,98.7,51.1
2024-08-09 05:37:35,98.2,51.0
2024-08-09 05:37:37,98.3,50.7
2024-08-09 05:37:39,99.5,50.7
2024-08-09 05:37:41,98.2,50.7
2024-08-09 05:37:43,97.2,50.5
2024-08-09 05:37:45,99.5,50.6
2024-08-09 05:37:47,97.7,50.0
2024-08-09 05:37:49,97.5,49.2
2024-08-09 05:37:51,99.0,49.1
2024-08-09 05:37:53,94.2,48.3
2024-08-09 05:37:55,99.2,46.1
2024-08-09 05:37:57,95.9,45.4
2024-08-09 05:37:59,94.0,44.8
2024-08-09 05:38:01,80.9,43.6
2024-08-09 05:38:03,84.7,43.3
2024-08-09 05:38:05,85.1,42.9
2024-08-09 05:38:07,70.1,42.7
2024-08-09 05:38:09,80.4,42.8
2024-08-09 05:38:11,69.0,42.7
2024-08-09 05:38:13,68.6,42.8
2024-08-09 05:38:15,82.5,42.8
2024-08-09 05:38:17,63.3,42.8
2024-08-09 05:38:19,77.0,42.8
2024-08-09 05:38:21,87.1,42.8
2024-08-09 05:38:23,71.3,42.8
2024-08-09 05:38:25,78.2,42.9
2024-08-09 05:38:27,87.0,42.9
2024-08-09 05:38:29,76.0,42.8
2024-08-09 05:38:31,87.2,42.8
2024-08-09 05:38:33,85.6,42.8
2024-08-09 05:38:35,83.1,42.8
2024-08-09 05:38:37,85.5,42.9
2024-08-09 05:38:39,83.8,43.0
2024-08-09 05:38:41,65.5,42.9
2024-08-09 05:38:43,79.6,43.0
2024-08-09 05:38:45,77.4,42.9
2024-08-09 05:38:47,65.6,42.9
2024-08-09 05:38:49,87.8,43.1
2024-08-09 05:38:51,70.6,43.0
2024-08-09 05:38:53,65.6,43.0
2024-08-09 05:38:55,88.4,43.0
2024-08-09 05:38:57,69.4,43.0
2024-08-09 05:38:59,72.2,43.1
2024-08-09 05:39:01,87.3,43.0
2024-08-09 05:39:03,65.9,43.1
2024-08-09 05:39:05,72.7,43.0
2024-08-09 05:39:07,85.0,43.0
2024-08-09 05:39:09,66.9,42.9
2024-08-09 05:39:11,75.5,43.0
2024-08-09 05:39:13,79.7,43.0
2024-08-09 05:39:15,64.6,43.0
2024-08-09 05:39:17,86.6,43.0
2024-08-09 05:39:19,83.8,43.1
2024-08-09 05:39:21,64.8,43.1
2024-08-09 05:39:23,91.4,43.1
2024-08-09 05:39:25,79.3,43.0
2024-08-09 05:39:27,63.4,43.0
2024-08-09 05:39:29,88.4,43.1
2024-08-09 05:39:31,81.7,43.0
2024-08-09 05:39:33,64.7,43.0
2024-08-09 05:39:35,84.7,43.0
2024-08-09 05:39:37,81.0,43.1
2024-08-09 05:39:39,65.3,43.1
2024-08-09 05:39:41,81.7,43.2
2024-08-09 05:39:43,71.5,43.1
2024-08-09 05:39:45,75.4,43.1
2024-08-09 05:39:47,82.1,43.1
2024-08-09 05:39:49,65.9,43.1
2024-08-09 05:39:51,78.8,43.2
2024-08-09 05:39:53,82.9,43.2
2024-08-09 05:39:55,66.3,43.2
2024-08-09 05:39:57,85.0,43.3
2024-08-09 05:39:59,100.0,44.6
2024-08-09 05:40:01,100.0,45.9
2024-08-09 05:40:03,100.0,47.4
2024-08-09 05:40:05,100.0,48.5
2024-08-09 05:40:07,100.0,49.3
2024-08-09 05:40:09,100.0,49.8
2024-08-09 05:40:11,99.7,50.6
2024-08-09 05:40:13,100.0,50.9
2024-08-09 05:40:15,100.0,51.5
2024-08-09 05:40:17,100.0,51.6
2024-08-09 05:40:19,99.8,51.9
2024-08-09 05:40:21,100.0,52.3
2024-08-09 05:40:23,99.8,52.9
2024-08-09 05:40:25,100.0,53.8
2024-08-09 05:40:27,99.8,55.3
2024-08-09 05:40:29,99.8,53.1
2024-08-09 05:40:31,100.0,52.9
2024-08-09 05:40:33,100.0,54.6
2024-08-09 05:40:35,99.8,55.4
2024-08-09 05:40:37,98.2,53.1
2024-08-09 05:40:39,99.7,52.0
2024-08-09 05:40:41,98.7,52.2
2024-08-09 05:40:43,98.5,52.3
2024-08-09 05:40:45,99.2,52.3
2024-08-09 05:40:47,99.5,52.5
2024-08-09 05:40:49,94.7,52.2
2024-08-09 05:40:51,96.7,52.3
2024-08-09 05:40:53,98.0,52.3
2024-08-09 05:40:55,97.2,52.3
2024-08-09 05:40:57,91.1,52.2
2024-08-09 05:40:59,96.2,52.2
2024-08-09 05:41:01,93.2,52.2
2024-08-09 05:41:03,81.5,52.2
2024-08-09 05:41:05,96.7,52.3
2024-08-09 05:41:07,96.2,52.3
2024-08-09 05:41:09,84.2,52.3
2024-08-09 05:41:11,90.4,52.3
2024-08-09 05:41:13,96.2,52.3
2024-08-09 05:41:15,89.1,52.3
2024-08-09 05:41:17,85.0,52.3
2024-08-09 05:41:19,96.0,52.0
2024-08-09 05:41:21,89.4,52.1
2024-08-09 05:41:23,81.1,52.1
2024-08-09 05:41:25,94.7,52.2
2024-08-09 05:41:27,94.2,52.2
2024-08-09 05:41:29,79.9,52.3
2024-08-09 05:41:31,94.7,52.4
2024-08-09 05:41:33,95.5,52.4
2024-08-09 05:41:35,84.3,52.3
2024-08-09 05:41:37,95.7,52.4
2024-08-09 05:41:39,96.2,52.4
2024-08-09 05:41:41,78.2,52.3
2024-08-09 05:41:43,92.2,52.4
2024-08-09 05:41:45,96.2,52.4
2024-08-09 05:41:47,79.9,52.4
2024-08-09 05:41:49,87.9,52.4
2024-08-09 05:41:51,97.0,52.4
2024-08-09 05:41:53,87.3,52.4
2024-08-09 05:41:55,84.3,52.4
2024-08-09 05:41:57,95.0,52.4
2024-08-09 05:41:59,91.1,52.4
2024-08-09 05:42:01,84.0,52.4
2024-08-09 05:42:03,95.2,52.4
2024-08-09 05:42:05,95.0,52.4
2024-08-09 05:42:07,79.5,52.4
2024-08-09 05:42:09,92.1,52.4
2024-08-09 05:42:11,94.4,52.4
2024-08-09 05:42:13,81.0,52.4
2024-08-09 05:42:15,93.2,52.4
2024-08-09 05:42:17,95.7,52.4
2024-08-09 05:42:19,80.6,52.4
2024-08-09 05:42:21,88.1,52.4
2024-08-09 05:42:23,94.4,52.4
2024-08-09 05:42:25,88.6,52.4
2024-08-09 05:42:27,84.5,52.4
2024-08-09 05:42:29,95.2,52.4
2024-08-09 05:42:31,91.7,52.3
2024-08-09 05:42:33,81.2,52.4
2024-08-09 05:42:35,93.9,52.4
2024-08-09 05:42:37,95.8,52.4
2024-08-09 05:42:39,80.7,52.4
2024-08-09 05:42:41,93.7,52.4
2024-08-09 05:42:43,96.0,52.4
2024-08-09 05:42:45,83.0,52.4
2024-08-09 05:42:47,94.4,52.5
2024-08-09 05:42:49,94.4,52.5
2024-08-09 05:42:51,89.9,52.4
2024-08-09 05:42:53,90.9,52.4
2024-08-09 05:42:55,93.4,52.4
2024-08-09 05:42:57,82.1,52.4
2024-08-09 05:42:59,89.3,52.4
2024-08-09 05:43:01,92.4,52.4
2024-08-09 05:43:03,87.3,52.4
2024-08-09 05:43:05,87.6,52.4
2024-08-09 05:43:07,93.2,52.4
2024-08-09 05:43:09,89.7,52.4
2024-08-09 05:43:11,84.1,52.4
2024-08-09 05:43:13,94.7,52.4
2024-08-09 05:43:15,90.4,52.3
2024-08-09 05:43:17,86.0,52.3
2024-08-09 05:43:19,93.5,52.4
2024-08-09 05:43:21,93.9,52.4
2024-08-09 05:43:23,82.5,52.3
2024-08-09 05:43:25,96.7,52.4
2024-08-09 05:43:27,95.2,52.4
2024-08-09 05:43:29,82.8,52.4
2024-08-09 05:43:31,90.7,52.3
2024-08-09 05:43:33,94.0,52.1
2024-08-09 05:43:35,84.0,50.0
2024-08-09 05:43:37,85.0,50.1
2024-08-09 05:43:39,95.0,50.0
2024-08-09 05:43:41,95.2,50.0
2024-08-09 05:43:43,82.5,49.8
2024-08-09 05:43:45,94.4,49.8
2024-08-09 05:43:47,94.7,49.9
2024-08-09 05:43:49,83.3,49.9
2024-08-09 05:43:51,96.5,49.8
2024-08-09 05:43:53,93.4,49.9
2024-08-09 05:43:55,80.8,49.8
2024-08-09 05:43:57,94.9,49.8
2024-08-09 05:43:59,98.2,50.1
2024-08-09 05:44:01,100.0,50.9
2024-08-09 05:44:03,100.0,51.5
2024-08-09 05:44:05,100.0,52.2
2024-08-09 05:44:07,100.0,52.7
2024-08-09 05:44:09,100.0,53.1
2024-08-09 05:44:11,100.0,53.7
2024-08-09 05:44:13,100.0,53.9
2024-08-09 05:44:15,100.0,54.7
2024-08-09 05:44:17,100.0,55.0
2024-08-09 05:44:19,100.0,55.6
2024-08-09 05:44:21,100.0,55.9
2024-08-09 05:44:23,100.0,56.6
2024-08-09 05:44:25,100.0,57.2
2024-08-09 05:44:27,100.0,57.7
2024-08-09 05:44:29,100.0,58.3
2024-08-09 05:44:31,100.0,58.5
2024-08-09 05:44:33,99.7,58.9
2024-08-09 05:44:35,100.0,59.3
2024-08-09 05:44:37,100.0,59.6
2024-08-09 05:44:39,99.8,61.4
2024-08-09 05:44:41,100.0,62.4
2024-08-09 05:44:43,99.7,60.7
2024-08-09 05:44:45,99.7,61.0
2024-08-09 05:44:47,99.5,61.1
2024-08-09 05:44:49,99.5,61.3
2024-08-09 05:44:51,95.5,61.3
2024-08-09 05:44:53,99.7,61.5
2024-08-09 05:44:55,99.5,61.5
2024-08-09 05:44:57,99.8,61.6
2024-08-09 05:44:59,100.0,61.6
2024-08-09 05:45:01,100.0,61.6
2024-08-09 05:45:03,100.0,61.7
2024-08-09 05:45:05,100.0,61.7
2024-08-09 05:45:07,100.0,61.7
2024-08-09 05:45:09,100.0,61.8
2024-08-09 05:45:11,99.5,61.9
2024-08-09 05:45:13,99.7,61.9
2024-08-09 05:45:15,99.2,61.9
2024-08-09 05:45:17,99.2,61.9
2024-08-09 05:45:19,99.0,61.9
2024-08-09 05:45:21,99.5,61.9
2024-08-09 05:45:23,99.5,62.0
2024-08-09 05:45:25,99.7,61.9
2024-08-09 05:45:27,96.7,61.9
2024-08-09 05:45:29,99.5,61.7
2024-08-09 05:45:31,99.8,61.8
2024-08-09 05:45:33,99.2,61.8
2024-08-09 05:45:35,99.5,61.8
2024-08-09 05:45:37,99.7,61.8
2024-08-09 05:45:39,100.0,61.8
2024-08-09 05:45:41,98.5,61.9
2024-08-09 05:45:43,100.0,61.8
2024-08-09 05:45:45,99.8,61.8
2024-08-09 05:45:47,100.0,61.9
2024-08-09 05:45:49,99.7,61.9
2024-08-09 05:45:51,99.8,61.9
2024-08-09 05:45:53,99.8,61.9
2024-08-09 05:45:55,99.5,61.9
2024-08-09 05:45:57,99.5,62.0
2024-08-09 05:45:59,100.0,61.9
2024-08-09 05:46:01,96.2,61.8
2024-08-09 05:46:03,99.5,61.8
2024-08-09 05:46:05,99.5,61.8
2024-08-09 05:46:07,99.8,61.8
2024-08-09 05:46:09,98.7,61.8
2024-08-09 05:46:11,99.0,61.8
2024-08-09 05:46:13,99.5,61.8
2024-08-09 05:46:15,99.7,61.8
2024-08-09 05:46:17,100.0,61.8
2024-08-09 05:46:19,99.7,61.8
2024-08-09 05:46:21,99.7,61.8
2024-08-09 05:46:23,99.8,61.8
2024-08-09 05:46:25,99.5,61.8
2024-08-09 05:46:27,99.5,61.8
2024-08-09 05:46:29,99.8,61.8
2024-08-09 05:46:31,99.5,61.9
2024-08-09 05:46:33,99.7,61.5
2024-08-09 05:46:35,99.7,61.5
2024-08-09 05:46:37,98.5,61.7
2024-08-09 05:46:39,99.7,61.8
2024-08-09 05:46:41,99.5,61.8
2024-08-09 05:46:43,97.7,61.4
2024-08-09 05:46:45,99.7,61.6
2024-08-09 05:46:47,98.5,61.7
2024-08-09 05:46:49,98.7,61.8
2024-08-09 05:46:51,98.2,61.8
2024-08-09 05:46:53,96.5,61.9
2024-08-09 05:46:55,99.7,61.8
2024-08-09 05:46:57,100.0,61.8
2024-08-09 05:46:59,98.0,61.9
2024-08-09 05:47:01,98.7,61.9
2024-08-09 05:47:03,100.0,61.9
2024-08-09 05:47:05,99.7,61.9
2024-08-09 05:47:07,99.0,61.9
2024-08-09 05:47:09,99.7,61.9
2024-08-09 05:47:11,99.2,61.9
2024-08-09 05:47:13,99.0,61.9
2024-08-09 05:47:15,99.2,61.9
2024-08-09 05:47:17,98.5,61.9
2024-08-09 05:47:19,99.5,61.9
2024-08-09 05:47:21,99.8,61.9
2024-08-09 05:47:23,99.7,61.9
2024-08-09 05:47:25,100.0,61.9
2024-08-09 05:47:27,99.7,61.9
2024-08-09 05:47:29,99.7,61.9
2024-08-09 05:47:31,99.7,61.9
2024-08-09 05:47:33,99.2,61.9
