Timestamp,CPU Usage (%),Memory Usage (%),GPU Usage (%),GPU Memory Usage (%),Total GPU Memory (MB),Free GPU Memory (MB),Used GPU Memory (MB)
2024-08-08 16:40:01,0.1,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:03,0.7,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:05,0.3,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:07,0.1,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:09,0.4,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:11,1.5,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:13,0.3,10.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:15,3.7,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:17,6.5,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:19,6.3,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:21,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:23,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:25,6.3,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:27,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:29,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:32,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:34,6.5,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:36,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:38,6.4,10.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:40,99.3,13.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:42,98.1,17.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:40:44,90.9,21.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
