Timestamp,CPU Usage (%),Memory Usage (%),GPU Usage (%),GPU Memory Usage (%),Total GPU Memory (MB),Free GPU Memory (MB),Used GPU Memory (MB)
2024-08-08 16:29:07,73.8,35.0, 4 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:11,75.6,34.2, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:13,71.7,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:16,73.9,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:18,70.6,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:20,75.0,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:22,74.5,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:24,73.6,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:26,73.8,34.3, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:28,77.7,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:30,79.7,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:32,76.1,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:34,71.2,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:36,73.8,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:38,72.3,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:40,69.6,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:42,75.1,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:44,71.9,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:46,39.3,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:49,40.3,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:51,33.4,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:53,41.7,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:55,37.1,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:57,40.7,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:29:59,44.5,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:01,43.3,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:03,43.3,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:05,41.9,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:07,41.7,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:09,47.8,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:11,44.4,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:13,40.1,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:15,42.2,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:17,43.8,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:19,45.3,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:21,38.4,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:23,41.9,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:25,42.7,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:27,42.5,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:29,39.5,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:31,38.6,34.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:34,40.7,34.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:36,39.1,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:38,43.7,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:40,39.7,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:42,44.4,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:44,45.2,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:46,42.0,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:48,41.6,34.6, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:50,47.1,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:52,40.0,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:54,39.0,34.5, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:56,36.9,32.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:30:58,38.6,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:00,31.4,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:02,36.9,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:04,33.5,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:06,35.6,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:08,45.4,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:10,39.5,34.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:12,50.4,33.1, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:14,44.6,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:16,49.6,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:18,37.1,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:20,38.4,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:23,40.4,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:25,38.0,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:27,37.9,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:29,35.4,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:31,35.2,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:33,35.3,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:35,38.9,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:37,33.8,32.9, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:39,39.6,32.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:41,39.5,34.0, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:43,40.0,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:45,44.8,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:47,42.3,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:49,43.1,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:51,39.6,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:53,42.4,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:55,41.7,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:57,39.4,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:31:59,41.6,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:32:01,46.5,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:32:03,39.6,34.7, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:32:06,41.6,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
2024-08-08 16:32:08,44.8,34.8, 0 %, 0 %, 4096 MiB, 3796 MiB, 14 MiB
Timestamp,CPU Usage (%),Memory Usage (%),GPU Usage (%),GPU Memory Usage (%),Total GPU Memory (MB),Free GPU Memory (MB),Used GPU Memory (MB)
2024-08-08 16:35:39,6.8,63.6, 0 %, 20 %, 8192 MiB, 7734 MiB, 458 MiB
2024-08-08 16:35:41,0.0,63.3, 0 %, 15 %, 8192 MiB, 7734 MiB, 458 MiB
2024-08-08 16:35:43,0.8,63.3, 0 %, 23 %, 8192 MiB, 7734 MiB, 458 MiB
2024-08-08 16:35:45,0.5,63.6, 4 %, 29 %, 8192 MiB, 7734 MiB, 458 MiB
2024-08-08 16:35:47,0.8,63.9, 0 %, 17 %, 8192 MiB, 7734 MiB, 458 MiB
